系列,牌号,销售区域,部门,销售,公司名称,近三年牌号成交规模,公司类型,制成品,行业,细分行业,用料,使用品类,使用二级品类,月用量,是否授信,冻结原因,授信期限,授信区间,快塑贷授信额度,快塑贷在贷余额,保险额度,第三方预授信额度,第三方激活额度,第三方已用额度,第三方预授信明细,第三方激活明细,复购率,最近成交日期,公司规模,近一年公司渗透率,近一年公司品类渗透率,近一年成交品类数,近一年成交品类,crm是否有期货用料,近一年是否有期货订单,是否代采客户,黑名单状态,近30天上线天数,当月上线天数,是否绑定企微,近一年快塑贷逾期率,近一年最长逾期天数,近一年最长逾期天数区间,近一年平均逾期天数,近一年平均逾期天数区间,是否使用美金支付,是否使用手册核销
茂金属Elite系列,5220G,CPG,CPG华东,徐岳,苏州浩博胶粘制品有限公司,,终端,拉伸缠绕膜,软包装,工业,"LLDPE膜料-2122BS|沙特阿美,LLDPE膜料-35B|中韩石化（武汉）,LLDPE膜料-7042|中海壳牌,LLDPE膜料-7042|中煤榆林,LLDPE膜料-7042|华泰,LLDPE膜料-7042|宁夏宝丰,LLDPE膜料-7042|扬子石化,LLDPE膜料-7042|蒲洁能化,MLLDPE-5220G|陶氏,MLLDPE-5400G|陶氏,MLLDPE-M3518.CB|埃克森","LLDPE,MLLDPE","LLDPE膜料,MLLDPE",200,待风控重审,系统冻结|风险低：近一年未合作,3,1-7天,1000,,0,300000,0,0,京塑条|授信额度:|300000|,,无复购率,2021-05-07,小客户,,"LLDPE膜料|月用量|60|渗透率|0.00%|,MLLDPE|月用量|0|渗透率|0.00%|",,,,无期货订单,非代采客户,正常,未上线,,已绑定,,,无逾期,,无逾期,否,是
茂金属Elite系列,5220G,CPG-广州内海,CPG-广州内海,CPG-广州内海1,信阳邦泰包装材料有限公司,,终端,卫生用膜（纸尿裤/卫生巾等）|纸尿裤/尿布/卫生巾,消费品|软包装,日用|日用类,"EVA-7350M|台湾塑胶,HDPE膜料-3355F|泰国PTT,LDPE膜料-0274|卡塔尔石化,LDPE膜料-2426H|中海壳牌,LDPE重包料-2420F|中海壳牌,LLDPE膜料-2018.AY|埃克森,LLDPE膜料-2018.XV(201XV)|福建联合,LLDPE膜料-沙特2018BU|埃克森,MLLDPE-5220G|陶氏,MLLDPE-M3518.CB|埃克森,MLLDPE-M3518.PA|埃克森,MLLDPE-SP1520|三井化学","EVA,HDPE,LDPE,LLDPE,MLLDPE","EVA,HDPE膜料,LDPE膜料,LDPE重包料,LLDPE膜料,MLLDPE",150,待风控重审,风控冻结|风险低：节假日策略，客户或我司阶段性资金头寸紧张，暂停操作的低毛利或小型客户,3,1-7天,1,,0,,,,,,年购,2026-01-14,小客户,0.69%,"EVA|月用量|30|渗透率|0.00%|,HDPE膜料|月用量|10|渗透率|10.42%|,LDPE重包料|月用量|10|渗透率|0.00%|,LLDPE膜料|月用量|50|渗透率|0.00%|,MLLDPE|月用量|40|渗透率|0.00%|,LDPE膜料|月用量|30|渗透率|0.00%|",1,HDPE,,无期货订单,非代采客户,正常,未上线,,已绑定,,,无逾期,,无逾期,否,是
茂金属Elite系列,5220G,"CPG,快塑华南","CPG华南,交易服务4部-广州","张键洪,郭泽标",广州鹿山新材料股份有限公司,333.875,终端,改性料,其它,其它,"HDPE拉丝料-5000S|大庆石化,HDPE注塑料-2911FS|抚顺石化,HDPE膜料-TR144|茂名石化,HIPS-660|广州石化,LDPE膜料-2420H|中海壳牌,LDPE膜料-2426HFP|茂名石化,LLDPE注塑料-2320|广州石化,LLDPE膜料-1801|中安联合,LLDPE膜料-2018.AY|埃克森,LLDPE膜料-2018AY|埃克森,LLDPE膜料-2036P|陶氏,LLDPE膜料-7042|中海壳牌,LLDPE膜料-7042|浙江石化,LLDPE膜料-7042|神华包头,LLDPE膜料-7042|蒲洁能化,MLLDPE-5220G|陶氏,MLLDPE-M3518.CB|埃克森,POP 聚烯烃塑性体-1140G|陶氏,POP 聚烯烃塑性体-PL1880G|陶氏,PPB注塑料-300H-Z|中海壳牌,PPB注塑料-300H|中科炼化,PPHM注塑料-CJS700|广州石化,PPHM纤维料-PP-H-Y-300(N-Z30S)|茂名石化,PPR膜料-F800E|上海石化,ULDPE膜料-4404G|陶氏","HDPE,HIPS,LDPE,LLDPE,MLLDPE,POP 聚烯烃塑性体,PPB,PPHM,PPR,ULDPE","HDPE拉丝料,HDPE注塑料,HDPE膜料,HIPS,LDPE膜料,LLDPE注塑料,LLDPE膜料,MLLDPE,POP 聚烯烃塑性体,PPB注塑料,PPHM注塑料,PPHM纤维料,PPR膜料,ULDPE膜料",1080,待风控重审,授信期满冻结,30,16-30天,1000000,,0,237949.58,0,0,京塑条|授信额度:|237950|,,年购,2025-12-01,大客户,0.23%,"LLDPE膜料|月用量|300|渗透率|0.00%|,MLLDPE|月用量|130|渗透率|0.00%|,PPHM纤维料|月用量|50|渗透率|0.00%|,POP 聚烯烃塑性体|月用量|20|渗透率|0.00%|,HDPE拉丝料|月用量|200|渗透率|0.00%|,LDPE膜料|月用量|200|渗透率|0.00%|,HDPE注塑料|月用量|80|渗透率|0.00%|,PPHM注塑料|月用量|50|渗透率|0.00%|,ULDPE膜料|月用量|50|渗透率|0.00%|,PPR|月用量|50|渗透率|0.00%|,无机阻燃剂|月用量|0.5|渗透率|0.00%|,MLLDPE|月用量|10|渗透率|0.00%|,HIPS|月用量|5|渗透率|0.00%|",1,PPB,,无期货订单,非代采客户,正常,未上线,,已绑定,1,1,1-7天,1,1-7天,否,是
茂金属Elite系列,5220G,快塑华南,交易服务4部-广州,杨景华,广东金榜膜业科技有限公司,,终端,保护膜,软包装,工业,"HDPE拉丝料-5000S|兰州石化,HDPE拉丝料-5000S|大庆石化,HDPE膜料-6207FL(HTA108)|埃克森,LDPE膜料-2420E02|伊朗石化,LDPE膜料-2420H|中海壳牌,LDPE膜料-2420H|伊朗石化,LDPE膜料-LD100BW(2022BW)|埃克森,LDPE膜料-LD2022.BW(LD100BW)|埃克森,LLDPE膜料-0218F|加拿大NOVA,LLDPE膜料-18L02|伊库石化,LLDPE膜料-2002A|OPAL石化,LLDPE膜料-2018.XV(201XV)|福建联合,LLDPE膜料-218NJ|沙特SABIC,LLDPE膜料-35B|中韩石化（武汉）,LLDPE膜料-7042N|广东石化,LLDPE膜料-7042N|广西石化,LLDPE膜料-7042N|抚顺石化,LLDPE膜料-7042|中海壳牌,LLDPE膜料-7042|中煤榆林,LLDPE膜料-7042|内蒙宝丰,LLDPE膜料-7042|宁夏宝丰,LLDPE膜料-7042|宝来,LLDPE膜料-7042|广州石化,LLDPE膜料-7042|浙江石化,LLDPE膜料-7042|海南乙烯,LLDPE膜料-7042|烟台万华,LLDPE膜料-7042|神华包头,LLDPE膜料-7042|福建联合,LLDPE膜料-7042|茂名石化,LLDPE膜料-7042|裕龙石化,LLDPE膜料-7042|阿曼,LLDPE膜料-7420A|泰国PTT,LLDPE膜料-FB2230|北欧化工,MLLDPE-1018MA(1018.MA)|埃克森,MLLDPE-2018RA(2018.RA)|埃克森,MLLDPE-5220G|陶氏,MLLDPE-M3518.CB|埃克森,MLLDPE-M3518.PA|埃克森,PPR膜料-RB707CF|北欧化工","HDPE,LDPE,LLDPE,MLLDPE,PPR","HDPE拉丝料,HDPE膜料,LDPE膜料,LLDPE膜料,MLLDPE,PPR膜料",310,已授信,,15,8-15天,1000000,515375,0,385056.25,0,0,京塑条|授信额度:|385056|,,月月购,2026-06-16,中客户,42.79%,"LDPE膜料|月用量|50|渗透率|117.90%|,LLDPE膜料|月用量|201|渗透率|31.40%|,HDPE拉丝料|月用量|1|渗透率|166.67%|,PPR膜料|月用量|1|渗透率|45.83%|,MLLDPE|月用量|10|渗透率|0.00%|,HDPE膜料|月用量|5|渗透率|29.79%|",5,"HDPE,LDPE,LLDPE,MLLDPE,PPR",有期货用料,有期货订单,非代采客户,正常,未上线,,已绑定,0.791,8,8-15天,2,1-7天,否,是
茂金属Elite系列,5220G,CPG,CPG华南,刘琼芳,合诚技术股份有限公司,,终端,改性料（医疗）|改性料（多产品）|改性料（家电）|改性料（汽车）|改性料（食品）,改性产品,改性料,"EVA-33045|LG化学,HDPE注塑料-56200(HMA016)|埃克森,HDPE注塑料-DMDA8920|福建联合,HDPE注塑料-FL8008|福建联合,HDPE管材料-PN049|中沙石化,LDPE注塑料-1I60A|燕山石化,LDPE涂覆料-0710|卡塔尔石化,LDPE涂覆料-L705|沙特日本住友,LDPE膜料-2420K|中海壳牌,LLDPE注塑料-20024RQ|埃克森,LLDPE注塑料-2320|广州石化,LLDPE膜料-119NJ|沙特SABIC,LLDPE膜料-2001|广州石化,LLDPE膜料-2018.XV(201XV)|福建联合,LLDPE膜料-2027G|陶氏,LLDPE膜料-2036P|陶氏,LLDPE膜料-218NJ|沙特SABIC,MLLDPE-5220G|陶氏,MLLDPE-5400G|陶氏,MLLDPE-5538G|陶氏,MLLDPE-5815|陶氏,MLLDPE-6101|陶氏,MLLDPE-HPR3518CB|广东石化,PA6-J2800|杭州聚合顺,PA6-NP2800|台湾台化,PA6-ZJ2800|福建中锦,POE-3980FL|埃克森,PPB注塑料-EP300M-Z|中海壳牌,PPB注塑料-K8003|独山子石化,PPHM粉料-150|茂名实华,PPHM膜料-HP510M-Z|中海壳牌,PPHM薄壁注塑料-H9018|兰州石化,ULDPE膜料-4203|陶氏","EVA,HDPE,LDPE,LLDPE,MLLDPE,PA6,POE,PPB,PPHM,ULDPE","EVA,HDPE注塑料,HDPE管材料,LDPE注塑料,LDPE涂覆料,LDPE膜料,LLDPE注塑料,LLDPE膜料,MLLDPE,PA6,POE,PPB注塑料,PPHM粉料,PPHM膜料,PPHM薄壁注塑料,ULDPE膜料",1300,已授信,,30,16-30天,1000000,193220,0,,,,,,三月购,2026-05-21,大客户,3.13%,"MLLDPE|月用量|250|渗透率|15.07%|,PA6|月用量|300|渗透率|0.00%|,LDPE涂覆料|月用量|100|渗透率|0.00%|,POE|月用量|25|渗透率|0.00%|,EVA|月用量|20|渗透率|0.00%|,HDPE注塑料|月用量|100|渗透率|0.00%|,PPB注塑料|月用量|20|渗透率|0.00%|,LLDPE膜料|月用量|150|渗透率|0.00%|,PPHM拉丝料|月用量|100|渗透率|0.00%|,PPCP注塑料|月用量|30|渗透率|0.00%|,LDPE膜料|月用量|10|渗透率|0.00%|,PPHM粉料|月用量|20|渗透率|0.00%|,LLDPE注塑料|月用量|15|渗透率|5.91%|,PPHM注塑料|月用量|100|渗透率|0.00%|,HDPE管材料|月用量|30|渗透率|0.00%|,ULDPE膜料|月用量|25|渗透率|0.00%|,PPHM薄壁注塑料|月用量|200|渗透率|0.00%|",3,"LLDPE,MLLDPE,PPHM",,有期货订单,非代采客户,正常,小于5天,2,已绑定,0.5,6,1-7天,2.1333,1-7天,否,是
茂金属Elite系列,5220G,CPG,CPG华东,王金莹,湖州万马高分子材料有限公司,,终端,电缆绝缘层,软包装,工业,"LDPE膜料-2426H|浙江石化,LDPE重包料-2420D|大庆石化,LLDPE膜料-7042|浙江石化,LLDPE膜料-7042|裕龙石化,MLLDPE-5220G|陶氏","LDPE,LLDPE,MLLDPE","LDPE膜料,LDPE重包料,LLDPE膜料,MLLDPE",17000,待风控重审,授信期满冻结,15,8-15天,1000000,,0,,,,,,三月购,2026-06-04,大客户,0.12%,"MLLDPE|月用量|2000|渗透率|1.04%|,LLDPE膜料|月用量|10000|渗透率|0.00%|,LDPE重包料|月用量|2000|渗透率|0.00%|,LDPE膜料|月用量|3000|渗透率|0.00%|",1,MLLDPE,,有期货订单,非代采客户,正常,未上线,,已绑定,1,7,1-7天,3.8333,1-7天,否,否
茂金属Elite系列,5220G,CPG,CPG华东,王金莹,什众明志化学(上海)有限公司,,终端,改性料|母料（色母等）,其它|改性产品,其它|母料（色母等）,"HDPE膜料-3355F|泰国PTT,LDPE膜料-2420E02|伊朗石化,MLLDPE-5220G|陶氏,PPR膜料-RB707CF|北欧化工","HDPE,LDPE,MLLDPE,PPR","HDPE膜料,LDPE膜料,MLLDPE,PPR膜料",200,未授信,,0,未授信,,,0,,,,,,二月购,2026-05-19,小客户,2.02%,"MLLDPE|月用量|10|渗透率|0.00%|,PPR|月用量|10|渗透率|0.00%|",1,HDPE,,无期货订单,非代采客户,正常,未上线,,未绑定,,,无逾期,,无逾期,否,是
茂金属Elite系列,5220G,CPG,CPG华东,徐岳,张家港市银宇塑料制品有限公司,,终端,一次性手套,消费品,医用类,"LDPE膜料-2102TN26|齐鲁石化,LDPE膜料-2426H|扬子巴斯夫,LDPE膜料-2426H|神华新疆,LLDPE膜料-7042|浙江石化,LLDPE膜料-7042|镇海炼化,MLLDPE-5220G|陶氏,MLLDPE-M3518.CB|埃克森,POE-DF740|三井化学","LDPE,LLDPE,MLLDPE,POE","LDPE膜料,LLDPE膜料,MLLDPE,POE",180,未授信,,0,未授信,,,0,300000,0,0,京塑条|授信额度:|300000|,,无复购率,2021-01-06,小客户,,"MLLDPE|月用量|70|渗透率|0.00%|,LLDPE膜料|月用量|70|渗透率|0.00%|,POE|月用量|20|渗透率|0.00%|,LDPE膜料|月用量|20|渗透率|0.00%|",,,,无期货订单,非代采客户,正常,未上线,,已绑定,,,无逾期,,无逾期,否,否
茂金属Elite系列,5220G,,,,台州市绿立谷农业科技发展有限公司,,终端,通用农膜,其它,其它,"ABS-0215A|吉林石化,HDPE中空料-B56003|印度信诚,HDPE拉丝料-5000S|大庆石化,HDPE注塑料-GC7260|宁夏宝丰,HDPE膜料-10500FE|俄罗斯西布尔,HDPE膜料-5110|伊朗石化,HDPE膜料-6097|大庆石化,HDPE膜料-FB1460|北欧化工,HDPE膜料-FB1520|北欧化工,HDPE膜料-STL-FS1460H|连云港石化（卫星）,HDPE膜料-TR131|卡塔尔石化,HDPE膜料-TR131|沙特聚合物,HDPE膜料-TR144|卡塔尔石化,HDPE膜料-TR144|茂名石化,HDPE膜料-TR144|雪佛龙菲利普斯,LDPE膜料-10803|俄罗斯喀山,LLDPE膜料-0209AA|伊朗石化,LLDPE膜料-1018LA|埃克森,LLDPE膜料-2045G|陶氏,LLDPE膜料-2045LC|陶氏,LLDPE膜料-219ZJ|沙特SABIC,LLDPE膜料-22B02|中东,LLDPE膜料-2607G|陶氏,LLDPE膜料-2645|陶氏,LLDPE膜料-7042|吉林石化,LLDPE膜料-7042|延长榆能化,LLDPE膜料-7050HJ|镇海炼化,LLDPE膜料-F19010|印度信诚,LLDPE膜料-FB2230|北欧化工,LLDPE膜料-FB2310|北欧化工,LLDPE膜料-FD21HS|沙特QAMAR,LLDPE膜料-JF19010|印度信诚,LLDPE膜料-LL09200NP|俄罗斯西布尔,MLLDPE-5220G|陶氏,MLLDPE-7810A|泰国PTT,MLLDPE-FK1828|北欧化工,MLLDPE-SP1520|三井化学,PPB注塑料-K8003|独山子石化","ABS,HDPE,LDPE,LLDPE,MLLDPE,PPB","ABS,HDPE中空料,HDPE拉丝料,HDPE注塑料,HDPE膜料,LDPE膜料,LLDPE膜料,MLLDPE,PPB注塑料",100,未授信,,0,未授信,,,0,,,,,,无复购率,2021-08-27,小客户,,"HDPE中空料|月用量|50|渗透率|0.00%|,LLDPE膜料|月用量|0|渗透率|0.00%|,ABS|月用量|0|渗透率|0.00%|,HDPE拉丝料|月用量|0|渗透率|0.00%|,HDPE注塑料|月用量|0|渗透率|0.00%|,LDPE膜料|月用量|0|渗透率|0.00%|,LLDPE注塑料|月用量|0|渗透率|0.00%|,PPB注塑料|月用量|0|渗透率|0.00%|,MLLDPE|月用量|10|渗透率|0.00%|,MDPE膜料|月用量|10|渗透率|0.00%|,HDPE膜料|月用量|0|渗透率|0.00%|",,,,无期货订单,非代采客户,正常,小于5天,1,已绑定,,,无逾期,,无逾期,否,是
茂金属Elite系列,5220G,快塑华东内海,快塑华东内海,华东内海1,苏州绿力包装材料有限公司,,终端,拉伸缠绕膜|珍珠棉,软包装,工业,"LDPE副牌-4115|北欧化工,LDPE膜料-2102TX00|伊朗石化,LDPE膜料-2119|伊朗石化,LDPE膜料-2420E02|伊朗石化,LDPE膜料-2420H|伊朗石化,LDPE膜料-FT6230|北欧化工,LDPE膜料-LD5000A|布拉斯科,LDPE膜料-S-1522|布拉斯科,LLDPE膜料-7042|中安联合,LLDPE膜料-7042|中煤榆林,LLDPE膜料-7042|华泰,LLDPE膜料-7042|宝来,LLDPE膜料-7042|扬子石化,LLDPE膜料-7042|烟台万华,LLDPE膜料-7042|镇海炼化,MLLDPE-5220G|陶氏,MLLDPE-M3518.CB|埃克森","LDPE,LLDPE,MLLDPE","LDPE副牌,LDPE膜料,LLDPE膜料,MLLDPE",300,待风控重审,系统冻结|风险低：近一年未合作,15,8-15天,300000,,0,215475,0,0,京塑条|授信额度:|215475|,,无复购率,2024-04-19,中客户,,"MLLDPE|月用量|0|渗透率|0.00%|,LDPE|月用量|100|渗透率|0.00%|,LDPE膜料|月用量|100|渗透率|0.00%|,LLDPE|月用量|100|渗透率|0.00%|,LLDPE膜料|月用量|100|渗透率|0.00%|",,,,无期货订单,代采客户,正常,未上线,,已绑定,,,无逾期,,无逾期,否,否
茂金属Elite系列,5220G,CPG-广州内海,CPG-广州内海,CPG-广州内海1,淄博萨丽特包装制品有限公司,,终端,拉伸缠绕膜|青贮膜/袋,软包装,农业|工业,"HDPE拉丝料-GF7750M2|大连恒力,LDPE膜料-2420H|伊朗石化,LDPE膜料-2426H|中海壳牌,LLDPE粉料-2650粉|天津联合,LLDPE膜料-1002A灌包|陶氏,LLDPE膜料-1018.AV(1001AV)|埃克森,LLDPE膜料-1018.AV|埃克森,LLDPE膜料-2018.AY|埃克森,LLDPE膜料-2045G|陶氏,LLDPE膜料-2645G|陶氏,LLDPE膜料-7042N|抚顺石化,LLDPE膜料-7050|中原石化,LLDPE膜料-FB1200|北欧化工,LLDPE膜料-FB2230|北欧化工,LLDPE膜料-FB2310|北欧化工,MLLDPE-1012HJ|埃克森,MLLDPE-1012MA|埃克森,MLLDPE-2010MA|埃克森,MLLDPE-2012MA|埃克森,MLLDPE-2703MC|埃克森,MLLDPE-5220G|陶氏,MLLDPE-5400G|陶氏,MLLDPE-9200EN|韩国大林,MLLDPE-9200|韩国大林,MLLDPE-M0814.ML(8784ML)|埃克森,MLLDPE-M3518.CB|埃克森,MLLDPE-SP1520|三井化学,MLLDPE-XP8656ML(0516.ML)|埃克森,乙烯丙烯共聚物-6102FL|威达美","HDPE,LDPE,LLDPE,MLLDPE,乙烯丙烯共聚物","HDPE拉丝料,LDPE膜料,LLDPE粉料,LLDPE膜料,MLLDPE,乙烯丙烯共聚物",220,待风控重审,授信期满冻结,15,8-15天,300000,,0,623048.6,0,0,京塑条|授信额度:|623049|,,无复购率,2025-02-06,小客户,,"LLDPE膜料|月用量|202|渗透率|0.00%|,LLDPE粉料|月用量|10|渗透率|0.00%|,HDPE拉丝料|月用量|10|渗透率|0.00%|,LDPE膜料|月用量|30|渗透率|0.00%|,HDPE膜料|月用量|11|渗透率|0.00%|,POE|月用量|10|渗透率|0.00%|,MLLDPE|月用量|50|渗透率|0.00%|",,,,无期货订单,非代采客户,正常,未上线,,已绑定,,,无逾期,,无逾期,否,是
茂金属Elite系列,5220G,CPG,CPG华南,刘琼芳,福建恒安卫生材料有限公司,,终端,卫生用品包装膜/袋|卫生用膜（纸尿裤/卫生巾等）|纸尿裤/尿布/卫生巾|纺织品包装膜/袋,消费品|软包装,日用|日用类,"LDPE涂覆料-0710|卡塔尔石化,LDPE膜料-0474|卡塔尔石化,LLDPE膜料-2036.01G|陶氏,LLDPE膜料-7042|浙江石化,LLDPE膜料-7042|福建联合,MLLDPE-5220G|陶氏,MLLDPE-M3518.PA|埃克森,MLLDPE流延膜料-89770.00|陶氏,PPHM拉丝料-L5E89|中化泉州,TERPP-FL7632L|TPC","LDPE,LLDPE,MLLDPE,PPHM,TERPP","LDPE涂覆料,LDPE膜料,LLDPE膜料,MLLDPE,MLLDPE流延膜料,PPHM拉丝料,TERPP",1600,已授信,,7,1-7天,600000,293287.5,0,300000,0,0,京塑条|授信额度:|300000|,,年购,2026-05-29,大客户,0.13%,"PPHM拉丝料|月用量|700|渗透率|0.00%|,LDPE膜料|月用量|100|渗透率|0.00%|,LDPE涂覆料|月用量|100|渗透率|0.00%|,LLDPE膜料|月用量|400|渗透率|0.00%|,MLLDPE|月用量|200|渗透率|0.00%|,TERPP|月用量|100|渗透率|0.00%|",1,MLLDPE,,无期货订单,非代采客户,正常,未上线,,已绑定,1,6,1-7天,6,1-7天,否,是
茂金属Elite系列,5220G,,,,扬州市海达纤维科技有限公司,,终端,编织袋,软包装,工业,"LLDPE膜料-2036P|陶氏,LLDPE膜料-2045G|陶氏,LLDPE膜料-7042|华泰,LLDPE膜料-7042|大庆石化,MLLDPE-5220G|陶氏,PPHM拉丝料-HP-550J|浙江石化,PPHM拉丝料-HP550J|金能化学,PPHM拉丝料-L5E89|中煤榆林,PPHM拉丝料-S1003|大连恒力,PPHM拉丝料-S1003|浙江石化,PPHM拉丝料-S1003|神华新疆,PPHM拉丝料-T03(T30S)|镇海炼化,PPHM拉丝料-T30S|兰州石化,PPHM纤维料-Y26SY|绍兴,PPHM纤维料-Z30S|中煤榆林","LLDPE,MLLDPE,PPHM","LLDPE膜料,MLLDPE,PPHM拉丝料,PPHM纤维料",200,未授信,,0,未授信,,,0,,,,,,无复购率,2022-06-10,小客户,,"PPHM拉丝料|月用量|100|渗透率|0.00%|,LLDPE膜料|月用量|60|渗透率|0.00%|,PPHM纤维料|月用量|30|渗透率|0.00%|,MLLDPE|月用量|30|渗透率|0.00%|",,,,无期货订单,非代采客户,正常,未上线,,未绑定,,,无逾期,,无逾期,否,是
茂金属Elite系列,5220G,"CPG,快塑华南","CPG华南,交易服务1部-广州","卢海霞,周文强",广东聚石化学股份有限公司,,终端,TPR|共挤膜/多层包装膜（食品类）|医药包装膜/袋|改性料（多产品）|牙膏膜,改性产品|软包装,医药|改性料|日用|食品,"HDPE拉丝料-5000S|兰州石化,HDPE注塑料-56200(HMA016)|埃克森,HDPE注塑料-62N07|中东,HDPE膜料-3355F|泰国PTT,HDPE膜料-6207FL(HTA108)|埃克森,HDPE膜料-FB5600|北欧化工,HDPE膜料-HD5290HLF(HTA001HD5)|埃克森,LDPE膜料-0270|卡塔尔石化,LDPE膜料-2420E02|伊朗石化,LDPE膜料-2420H|中海壳牌,LDPE膜料-2420H|伊朗石化,LDPE膜料-2420H|茂名石化,LDPE膜料-FT6230|北欧化工,LDPE膜料-LD2022.BW(LD100BW)|埃克森,LLDPE膜料-2018.AY|埃克森,LLDPE膜料-2018.XBU|埃克森,LLDPE膜料-2018.XV(201XV)|福建联合,LLDPE膜料-2018.YB|埃克森,LLDPE膜料-2018AY|埃克森,LLDPE膜料-2036P|陶氏,LLDPE膜料-2038.68G|陶氏,LLDPE膜料-2045.11G|陶氏,LLDPE膜料-2045G|陶氏,LLDPE膜料-7042N|广西石化,LLDPE膜料-7042|中海壳牌,LLDPE膜料-7042|宁煤,LLDPE膜料-7042|宝来,LLDPE膜料-7042|广州石化,LLDPE膜料-7042|浙江石化,LLDPE膜料-7042|海南乙烯,LLDPE膜料-7042|烟台万华,LLDPE膜料-7042|福建联合,LLDPE膜料-C4LL2018.XBU|埃克森,LLDPE膜料-FB2230|北欧化工,LLDPE膜料-Q2018H|卡塔尔石化,LLDPE膜料-XUS61530.23|陶氏,LLDPE膜料-沙特2018BU|埃克森,MLLDPE-0535.MC(3505MC)|埃克森,MLLDPE-1018MA(1018.MA)|埃克森,MLLDPE-2012MA|埃克森,MLLDPE-2018MA|埃克森,MLLDPE-2018MB(2018.MB)|埃克森,MLLDPE-2018MB|埃克森,MLLDPE-3505MC|埃克森,MLLDPE-3527PA|埃克森,MLLDPE-5110G|陶氏,MLLDPE-5220G|陶氏,MLLDPE-5400G|陶氏,MLLDPE-5401GS|陶氏,MLLDPE-5401GT|陶氏,MLLDPE-5401G|陶氏,MLLDPE-6202|陶氏,MLLDPE-7810A|泰国PTT,MLLDPE-AT6202|陶氏,MLLDPE-FK1820|北欧化工,MLLDPE-FK1828|北欧化工,MLLDPE-LL7910A|泰国PTT,MLLDPE-M0814.ML(8784ML)|埃克森,MLLDPE-M2012.RA|埃克森,MLLDPE-M2012RA(2012RA)|埃克森,MLLDPE-M2018RB|埃克森,MLLDPE-M3518.CB|埃克森,MLLDPE-M3518.PA|埃克森,MLLDPE-XP6056ML|埃克森,MLLDPE-XZ89513.00|陶氏,POP 聚烯烃塑性体-PL1881G|陶氏","HDPE,LDPE,LLDPE,MLLDPE,POP 聚烯烃塑性体","HDPE拉丝料,HDPE注塑料,HDPE膜料,LDPE膜料,LLDPE膜料,MLLDPE,POP 聚烯烃塑性体",1050,待风控重审,系统冻结：逾期超15天,60,31天+,1500000,642463,1900000,500000,0,0,京塑条|授信额度:|500000|,,二月购,2026-04-01,大客户,17.45%,"PPCP注塑料|月用量|100|渗透率|0.00%|,PPHM拉丝料|月用量|0|渗透率|0.00%|,LLDPE膜料|月用量|400|渗透率|2.31%|,HDPE中空料|月用量|0|渗透率|0.00%|,LDPE重包料|月用量|0|渗透率|0.00%|,HDPE注塑料|月用量|0|渗透率|0.00%|,PPHM注塑料|月用量|0|渗透率|0.00%|,PPB注塑料|月用量|0|渗透率|0.00%|,PPHM纤维料|月用量|0|渗透率|0.00%|,HDPE膜料|月用量|30|渗透率|6.88%|,OBC|月用量|0|渗透率|0.00%|,阻燃母粒|月用量|0|渗透率|0.00%|,PC|月用量|400|渗透率|0.00%|,LLDPE管材料|月用量|0|渗透率|0.00%|,MLLDPE|月用量|106|渗透率|2.83%|,功能母料|月用量|0|渗透率|0.00%|,PPR膜料|月用量|0|渗透率|0.00%|,ABS|月用量|0|渗透率|0.00%|,LDPE涂覆料|月用量|0|渗透率|0.00%|,PPHM粉料|月用量|0|渗透率|0.00%|,POP 聚烯烃塑性体|月用量|8|渗透率|0.00%|,PPCP|月用量|100|渗透率|0.00%|,PPR透明注塑料|月用量|0|渗透率|0.00%|,SEBS|月用量|0|渗透率|0.00%|,LDPE膜料|月用量|50|渗透率|1.00%|,LLDPE注塑料|月用量|0|渗透率|0.00%|",6,"HDPE,LDPE,LLDPE,MLLDPE,PPB,PPHM",有期货用料,有期货订单,非代采客户,正常,5到10天,5,已绑定,0.9565,59,30-60天,17.913,16-30天,否,是
